                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 0.9271,                0.67209,                 1.1633,                0.91008,                0.93454,                0.96165,                0.76007,                0.81989,                  0.428,                 1.1076,               0.004159,               0.004159,               0.004159
                    120,                0.92513,                0.67518,                  1.161,                0.91029,                 0.9347,                0.96176,                0.76038,                0.81917,                0.42753,                 1.1071,              0.0041095,              0.0041095,              0.0041095
                    121,                  0.923,                0.66801,                 1.1582,                0.91042,                0.93485,                0.96193,                0.76081,                0.81836,                0.42697,                 1.1066,                0.00406,                0.00406,                0.00406
                    122,                0.92751,                0.66825,                 1.1597,                0.91027,                0.93541,                0.96209,                0.76102,                0.81759,                0.42632,                  1.106,              0.0040105,              0.0040105,              0.0040105
                    123,                0.92077,                0.66438,                 1.1596,                0.91041,                0.93582,                0.96223,                0.76144,                0.81681,                0.42587,                 1.1056,               0.003961,               0.003961,               0.003961
                    124,                0.92597,                0.66574,                 1.1529,                0.91055,                0.93647,                0.96242,                0.76187,                0.81606,                 0.4253,                 1.1051,              0.0039115,              0.0039115,              0.0039115
                    125,                0.92066,                0.66087,                 1.1549,                0.91095,                0.93674,                0.96261,                0.76225,                0.81534,                0.42472,                 1.1047,               0.003862,               0.003862,               0.003862
                    126,                0.91713,                0.66293,                 1.1569,                0.91223,                0.93602,                 0.9628,                0.76253,                0.81457,                0.42416,                 1.1042,              0.0038125,              0.0038125,              0.0038125
                    127,                0.91772,                0.65898,                  1.155,                0.91242,                0.93605,                0.96297,                 0.7629,                 0.8138,                0.42365,                 1.1037,               0.003763,               0.003763,               0.003763
                    128,                0.91438,                 0.6572,                 1.1536,                0.91322,                0.93589,                0.96315,                0.76326,                0.81309,                0.42301,                 1.1033,              0.0037135,              0.0037135,              0.0037135
                    129,                0.91714,                0.65586,                 1.1553,                0.91338,                0.93595,                0.96333,                0.76359,                0.81234,                0.42242,                 1.1028,               0.003664,               0.003664,               0.003664
                    130,                0.91401,                0.65275,                 1.1524,                0.91429,                0.93577,                0.96357,                0.76406,                0.81157,                0.42185,                 1.1023,              0.0036145,              0.0036145,              0.0036145
                    131,                0.91193,                0.64967,                  1.153,                 0.9145,                0.93614,                0.96366,                0.76433,                0.81084,                0.42122,                 1.1018,               0.003565,               0.003565,               0.003565
                    132,                0.90939,                0.64733,                 1.1541,                0.91412,                0.93714,                0.96383,                0.76484,                0.81012,                0.42075,                 1.1013,              0.0035155,              0.0035155,              0.0035155
                    133,                0.90733,                0.64352,                 1.1492,                0.91435,                0.93772,                0.96408,                0.76505,                0.80936,                0.42008,                 1.1008,               0.003466,               0.003466,               0.003466
                    134,                0.90352,                0.63749,                 1.1468,                0.91397,                0.93804,                0.96422,                0.76556,                0.80864,                0.41957,                 1.1003,              0.0034165,              0.0034165,              0.0034165
                    135,                0.90504,                0.64272,                 1.1464,                0.91364,                0.93833,                0.96437,                0.76574,                0.80796,                0.41907,                 1.0999,               0.003367,               0.003367,               0.003367
                    136,                0.90474,                0.63884,                  1.145,                0.91377,                 0.9388,                0.96448,                0.76628,                 0.8072,                0.41869,                 1.0994,              0.0033175,              0.0033175,              0.0033175
                    137,                0.90838,                0.63765,                  1.148,                0.91472,                0.93859,                0.96466,                0.76667,                0.80646,                0.41812,                 1.0988,               0.003268,               0.003268,               0.003268
                    138,                0.90255,                0.62982,                 1.1443,                0.91477,                0.93898,                0.96483,                0.76723,                0.80575,                 0.4176,                 1.0983,              0.0032185,              0.0032185,              0.0032185
                    139,                0.89908,                0.63718,                 1.1446,                0.91439,                0.93972,                0.96504,                0.76759,                0.80501,                0.41713,                 1.0978,               0.003169,               0.003169,               0.003169
                    140,                0.90074,                0.63794,                 1.1414,                0.91521,                0.93927,                0.96511,                0.76779,                0.80422,                0.41646,                 1.0973,              0.0031195,              0.0031195,              0.0031195
                    141,                0.89766,                0.62755,                 1.1439,                0.91552,                0.93963,                0.96528,                 0.7682,                0.80343,                0.41583,                 1.0968,                0.00307,                0.00307,                0.00307
                    142,                0.89359,                0.63242,                 1.1408,                0.91576,                0.93977,                 0.9654,                0.76848,                0.80275,                0.41531,                 1.0964,              0.0030205,              0.0030205,              0.0030205
                    143,                0.89044,                0.62371,                 1.1389,                0.91595,                0.94035,                0.96561,                0.76894,                0.80201,                 0.4147,                 1.0959,               0.002971,               0.002971,               0.002971
                    144,                0.89223,                0.61934,                 1.1391,                0.91677,                0.94067,                0.96576,                0.76927,                0.80117,                  0.414,                 1.0954,              0.0029215,              0.0029215,              0.0029215
                    145,                0.88895,                0.62952,                 1.1392,                0.91734,                0.94049,                0.96593,                0.76955,                0.80036,                0.41339,                 1.0948,               0.002872,               0.002872,               0.002872
                    146,                0.88861,                0.62053,                 1.1374,                0.91629,                0.94198,                0.96612,                0.77036,                0.79954,                0.41278,                 1.0943,              0.0028225,              0.0028225,              0.0028225
                    147,                0.88963,                0.62034,                  1.138,                0.91766,                 0.9409,                0.96623,                0.77062,                0.79876,                0.41212,                 1.0938,               0.002773,               0.002773,               0.002773
                    148,                0.88947,                0.62069,                 1.1383,                0.91746,                0.94155,                0.96641,                0.77099,                0.79794,                0.41164,                 1.0932,              0.0027235,              0.0027235,              0.0027235
                    149,                0.89112,                0.62394,                 1.1408,                0.91746,                0.94219,                0.96649,                0.77135,                0.79714,                0.41107,                 1.0927,               0.002674,               0.002674,               0.002674
                    150,                0.87858,                0.61321,                 1.1322,                0.91789,                0.94227,                0.96669,                0.77165,                 0.7964,                0.41049,                 1.0922,              0.0026245,              0.0026245,              0.0026245
                    151,                 0.8779,                0.60701,                 1.1311,                0.91881,                0.94216,                0.96689,                0.77205,                0.79562,                0.40991,                 1.0917,               0.002575,               0.002575,               0.002575
